shelter_id,shelter_na,address_1,city,county_par,fips_code,state,zip,mail_addr_,mailing_ad,mailing__1,mailing_ci,mailing_co,mailing_st,mailing_zi,facility_u,evacuation,post_impac,ada_compli,wheelchair,pet_accomm,pet_acco_1,generator_,self_suffi,latitude,longitude,in_100_yr_,in_500_yr_,in_surge_s,pre_landfa,shelter_co,org_organi,org_orga_1,org_main_p,org_fax,org_email,org_hotlin,org_other_,org_addres,org_city,org_state,org_zip,org_poc_na,org_poc_ph,org_poc_af,org_poc_em,org_hours_,population,incident_i,shelter_st,shelter_op,shelter_cl,reporting_,general_po,medical_ne,other_popu,other_po_1,total_popu,pet_popula,incident_n,incident_1,incident_c,objectid,score,status,match_type,loc_name,geox,geoy,facility_t,subfacilit,data_sourc,geometry
183894,CHAPLIN ELEMENTARY SCHOOL,240 PALMER RD,CHAPLIN,WINDHAM,,CT,06235,NO,,,,,,,BOTH,525.0,110.0,,,,,YES,YES,41.78984248,-72.14641654,NO,,NO,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670629,81.0,M,A,Street,-72.14641654,41.78984248,SHELTER,GENPOPSHEL,0.0,POINT (-72.14641654399998 41.78984248000006)
183837,Bethel Municipal Center,1 School Street,Bethel,FAIRFIELD,,CT,6801,NO,,,,,,,EVAC,400.0,200.0,,,,,,,41.37220632,-73.41118707000001,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,656.0,CLOSED,2020/10/29,2011/11/14,MIDDAY,0.0,,,,0.0,,#CT1011-01 - 10/29/2011,CT 10/11 Blizzard - STATEWIDE,BLI,670630,81.0,M,A,Street,-73.41118707000001,41.37220632,SHELTER,GENPOPSHEL,0.0,POINT (-73.41118707299995 41.37220632300006)
184551,VETERANS MEMORIAL SCHOOL,80 CROUCH AVE,NORWICH,NEW LONDON,,CT,06360,NO,,,,,,,BOTH,1320.0,599.0,,YES,,,,,41.50364224,-72.07275308,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670633,81.0,M,A,Street,-72.07275308,41.50364224,SHELTER,GENPOPSHEL,0.0,POINT (-72.07275307699996 41.503642237000065)
183868,Bryant Elementary School,230 Poplar St,BRIDGEPORT,FAIRFIELD,,CT,06605,YES,,,,,,,BOTH,137.0,107.0,,YES,,,YES,NO,41.173950780000006,-73.21490105,YES,,YES,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670634,81.0,M,A,Street,-73.21490105,41.173950780000006,SHELTER,GENPOPSHEL,0.0,POINT (-73.21490104699996 41.17395078100003)
184596,Windermere School,2 ABBOTT ROAD,ELLINGTON,TOLLAND,,CT,06029,YES,,,,,,,BOTH,430.0,215.0,,,,,,,41.86954939,-72.49877991,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670647,81.0,M,A,Street,-72.49877991,41.86954939,SHELTER,GENPOPSHEL,0.0,POINT (-72.49877990799996 41.86954939200007)
183869,Buckingham Elementary School,182 CEDAR ST,NORWICH,NEW LONDON,,CT,06360,NO,,,,,,,BOTH,1200.0,390.0,,YES,,,,,41.53125142,-72.08075704,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670648,81.0,M,A,Street,-72.08075704,41.53125142,SHELTER,GENPOPSHEL,0.0,POINT (-72.08075704299995 41.53125142400006)
183855,Bridgeport Police Community Center,1395 Sylvan Ave,BRIDGEPORT,FAIRFIELD,,CT,06606,YES,,,,,,,EVAC,20.0,0.0,,,,,,,41.22097633,-73.18726488,NO,,NO,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670654,81.0,M,A,Street,-73.18726488,41.22097633,SHELTER,OTHER,0.0,POINT (-73.18726488099998 41.22097633000004)
184194,LAUREL GARDENS,245 INDIAN RIVER RD,ORANGE,NEW HAVEN,,CT,06477,NO,,,,,,,EVAC,0.0,0.0,,,,,YES,YES,41.26138287,-73.00116817,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670656,81.0,M,A,Street,-73.00116817,41.26138287,SHELTER,GENPOPSHEL,0.0,POINT (-73.00116817399999 41.261382869000045)
184475,St. Pius X School,834 Brookside Dr,FAIRFIELD,FAIRFIELD,,CT,06824,YES,,,,,,,EVAC,10.0,0.0,,,,,,,41.177197330000006,-73.26628831,NO,,NO,,MEDICAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,MEDICAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670669,81.0,M,A,Street,-73.26628831,41.177197330000006,SHELTER,MEDBNS,0.0,POINT (-73.26628830799996 41.17719733400003)
184047,Flood Junior High School,490 Chapel St,STRATFORD,FAIRFIELD,,CT,06614,YES,,,,,,,BOTH,1265.0,383.0,,YES,,,NO,NO,41.23782963,-73.11928513000001,NO,,NO,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670672,81.0,M,A,Street,-73.11928513000001,41.23782963,SHELTER,GENPOPSHEL,0.0,POINT (-73.11928512899993 41.237829625000074)
184048,FORAN HIGH SCHOOL,80 FORAN ROAD,MILFORD,NEW HAVEN,,CT,06460,NO,,,,,,,EVAC,2465.0,1232.0,,YES,,,,YES,41.21774776,-73.01269748,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670673,81.0,M,A,Street,-73.01269748,41.21774776,SHELTER,GENPOPSHEL,0.0,POINT (-73.01269748199996 41.21774776400008)
184104,Hatters Community Park Hall,7 E HAYESTOWN RD,DANBURY,FAIRFIELD,,CT,06810,NO,,,,,,,POST,100.0,50.0,,,,,,,41.41706451,-73.45093711,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670674,81.0,M,A,Street,-73.45093711,41.41706451,SHELTER,OTHER,0.0,POINT (-73.45093710699996 41.41706450600003)
184564,WATERFORD H S,20 ROPE FERRY RD,WATERFORD,NEW LONDON,,CT,06385,NO,,,,,,,BOTH,2355.0,833.0,,YES,,,YES,,41.342204939999995,-72.13202739,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,2020/11/13,,,0.0,0.0,0.0,,0.0,0.0,,,,670687,81.0,M,A,Street,-72.13202739,41.342204939999995,SHELTER,GENPOPSHEL,0.0,POINT (-72.13202739199994 41.342204940000045)
